Rank;TZ;DAIO;Yr;mvts;;;
Low;Cyprus;AD;2029;91,223;;;
Base;Czech Republic;AD;2010;160,181;;;
Base;Czech Republic;AD;2011;159,078;;;
Base;Czech Republic;AD;2012;141,592;;;
Base;Czech Republic;AD;2013;138,550;;;
Base;Czech Republic;AD;2014;135,185;;;
Base;Czech Republic;AD;2015;137,034;;;
Base;Czech Republic;AD;2016;144,846;;;
Base;Czech Republic;AD;2017;158,847;;;
Base;Czech Republic;AD;2018;167,065;;;
Base;Czech Republic;AD;2019;165,813;;;
Base;Czech Republic;AD;2020;58,541;;;
Base;Czech Republic;AD;2021;68,765;;;
Base;Czech Republic;AD;2022;112,330;;;
High;Czech Republic;AD;2022;112,330;;;
Low;Czech Republic;AD;2022;112,330;;;
Base;Czech Republic;AD;2023;129,915;;;
High;Czech Republic;AD;2023;131,080;;;
Low;Czech Republic;AD;2023;128,684;;;
Base;Czech Republic;AD;2024;142,286;;;
High;Czech Republic;AD;2024;146,071;;;
Low;Czech Republic;AD;2024;138,275;;;
Base;Czech Republic;AD;2025;145,803;;;
High;Czech Republic;AD;2025;152,956;;;
Low;Czech Republic;AD;2025;138,643;;;
Base;Czech Republic;AD;2026;150,781;;;
High;Czech Republic;AD;2026;160,922;;;
Low;Czech Republic;AD;2026;140,792;;;
Base;Czech Republic;AD;2027;155,485;;;
High;Czech Republic;AD;2027;168,765;;;
Low;Czech Republic;AD;2027;142,542;;;
Base;Czech Republic;AD;2028;160,234;;;
High;Czech Republic;AD;2028;176,801;;;
Low;Czech Republic;AD;2028;144,285;;;
Base;Czech Republic;AD;2029;163,817;;;
High;Czech Republic;AD;2029;183,817;;;
Low;Czech Republic;AD;2029;144,929;;;
Base;Danube FAB;AD;2010;180,403;;;
Base;Danube FAB;AD;2011;180,520;;;
Base;Danube FAB;AD;2012;169,240;;;
Base;Danube FAB;AD;2013;162,128;;;
Base;Danube FAB;AD;2014;172,572;;;
Base;Danube FAB;AD;2015;182,888;;;
Base;Danube FAB;AD;2016;210,753;;;
Base;Danube FAB;AD;2017;234,564;;;
Base;Danube FAB;AD;2018;249,009;;;
Base;Danube FAB;AD;2019;249,301;;;
Base;Danube FAB;AD;2020;110,241;;;
Base;Danube FAB;AD;2021;150,072;;;
Base;Danube FAB;AD;2022;217,315;;;
High;Danube FAB;AD;2022;217,315;;;
Low;Danube FAB;AD;2022;217,315;;;
Base;Danube FAB;AD;2023;244,502;;;
High;Danube FAB;AD;2023;245,967;;;
Low;Danube FAB;AD;2023;243,002;;;
Base;Danube FAB;AD;2024;272,111;;;
High;Danube FAB;AD;2024;278,317;;;
Low;Danube FAB;AD;2024;265,922;;;
Base;Danube FAB;AD;2025;279,645;;;
High;Danube FAB;AD;2025;293,315;;;
Low;Danube FAB;AD;2025;266,915;;;
Base;Danube FAB;AD;2026;285,970;;;
High;Danube FAB;AD;2026;305,734;;;
Low;Danube FAB;AD;2026;268,063;;;
Base;Danube FAB;AD;2027;291,569;;;
High;Danube FAB;AD;2027;317,649;;;
Low;Danube FAB;AD;2027;268,489;;;
Base;Danube FAB;AD;2028;297,218;;;
High;Danube FAB;AD;2028;329,485;;;
Low;Danube FAB;AD;2028;269,195;;;
Base;Danube FAB;AD;2029;301,003;;;
High;Danube FAB;AD;2029;339,465;;;
Low;Danube FAB;AD;2029;268,242;;;
Base;Denmark;AD;2010;253,470;;;
Base;Denmark;AD;2011;267,256;;;
Base;Denmark;AD;2012;269,468;;;
Base;Denmark;AD;2013;273,998;;;
